"näringsgren SNI 2007","år","tabellinnehåll","Basfakta företag enligt Företagens ekonomi"
"A-01-03 jordbruk, skogsbruk och fiske","2022","Antal företag",212429
"A-01-03 jordbruk, skogsbruk och fiske","2022","Antal anställda",36602
"A-01-03 jordbruk, skogsbruk och fiske","2022","Nettoomsättning, mnkr",197902
"A-01-03 jordbruk, skogsbruk och fiske","2022","Förädlingsvärde, mnkr",71314
"A-01-03 jordbruk, skogsbruk och fiske","2022","Summa tillgångar, mnkr",671111
"A-01-03 jordbruk, skogsbruk och fiske","2022","Bruttoinvesteringar, mnkr",..
"A-01-03 jordbruk, skogsbruk och fiske","2022","Nettoinvesteringar, mnkr",..
"A-01-03 jordbruk, skogsbruk och fiske","2023","Antal företag",215913
"A-01-03 jordbruk, skogsbruk och fiske","2023","Antal anställda",37309
"A-01-03 jordbruk, skogsbruk och fiske","2023","Nettoomsättning, mnkr",208498
"A-01-03 jordbruk, skogsbruk och fiske","2023","Förädlingsvärde, mnkr",71703
"A-01-03 jordbruk, skogsbruk och fiske","2023","Summa tillgångar, mnkr",716339
"A-01-03 jordbruk, skogsbruk och fiske","2023","Bruttoinvesteringar, mnkr",..
"A-01-03 jordbruk, skogsbruk och fiske","2023","Nettoinvesteringar, mnkr",..
"01 jordbruk och jakt samt service i anslutning härtill","2022","Antal företag",90046
"01 jordbruk och jakt samt service i anslutning härtill","2022","Antal anställda",22364
"01 jordbruk och jakt samt service i anslutning härtill","2022","Nettoomsättning, mnkr",120768
"01 jordbruk och jakt samt service i anslutning härtill","2022","Förädlingsvärde, mnkr",44926
"01 jordbruk och jakt samt service i anslutning härtill","2022","Summa tillgångar, mnkr",374577
"01 jordbruk och jakt samt service i anslutning härtill","2022","Bruttoinvesteringar, mnkr",..
"01 jordbruk och jakt samt service i anslutning härtill","2022","Nettoinvesteringar, mnkr",..
"01 jordbruk och jakt samt service i anslutning härtill","2023","Antal företag",90431
"01 jordbruk och jakt samt service i anslutning härtill","2023","Antal anställda",22864
"01 jordbruk och jakt samt service i anslutning härtill","2023","Nettoomsättning, mnkr",124876
"01 jordbruk och jakt samt service i anslutning härtill","2023","Förädlingsvärde, mnkr",42580
"01 jordbruk och jakt samt service i anslutning härtill","2023","Summa tillgångar, mnkr",395540
"01 jordbruk och jakt samt service i anslutning härtill","2023","Bruttoinvesteringar, mnkr",..
"01 jordbruk och jakt samt service i anslutning härtill","2023","Nettoinvesteringar, mnkr",..
"01 jordbruk och jakt samt service i anslutning härtill","2022","Antal företag",90046
"01 jordbruk och jakt samt service i anslutning härtill","2022","Antal anställda",22364
"01 jordbruk och jakt samt service i anslutning härtill","2022","Nettoomsättning, mnkr",120768
"01 jordbruk och jakt samt service i anslutning härtill","2022","Förädlingsvärde, mnkr",44926
"01 jordbruk och jakt samt service i anslutning härtill","2022","Summa tillgångar, mnkr",374577
"01 jordbruk och jakt samt service i anslutning härtill","2022","Bruttoinvesteringar, mnkr",..
"01 jordbruk och jakt samt service i anslutning härtill","2022","Nettoinvesteringar, mnkr",..
"01 jordbruk och jakt samt service i anslutning härtill","2023","Antal företag",90431
"01 jordbruk och jakt samt service i anslutning härtill","2023","Antal anställda",22864
"01 jordbruk och jakt samt service i anslutning härtill","2023","Nettoomsättning, mnkr",124876
"01 jordbruk och jakt samt service i anslutning härtill","2023","Förädlingsvärde, mnkr",42580
"01 jordbruk och jakt samt service i anslutning härtill","2023","Summa tillgångar, mnkr",395540
"01 jordbruk och jakt samt service i anslutning härtill","2023","Bruttoinvesteringar, mnkr",..
"01 jordbruk och jakt samt service i anslutning härtill","2023","Nettoinvesteringar, mnkr",..
"01.1 odling av ett- och tvååriga växter","2022","Antal företag",17936
"01.1 odling av ett- och tvååriga växter","2022","Antal anställda",5711
"01.1 odling av ett- och tvååriga växter","2022","Nettoomsättning, mnkr",24701
"01.1 odling av ett- och tvååriga växter","2022","Förädlingsvärde, mnkr",9388
"01.1 odling av ett- och tvååriga växter","2022","Summa tillgångar, mnkr",80345
"01.1 odling av ett- och tvååriga växter","2022","Bruttoinvesteringar, mnkr",..
"01.1 odling av ett- och tvååriga växter","2022","Nettoinvesteringar, mnkr",..
"01.1 odling av ett- och tvååriga växter","2023","Antal företag",17925
"01.1 odling av ett- och tvååriga växter","2023","Antal anställda",5735
"01.1 odling av ett- och tvååriga växter","2023","Nettoomsättning, mnkr",25284
"01.1 odling av ett- och tvååriga växter","2023","Förädlingsvärde, mnkr",8929
"01.1 odling av ett- och tvååriga växter","2023","Summa tillgångar, mnkr",80787
"01.1 odling av ett- och tvååriga växter","2023","Bruttoinvesteringar, mnkr",..
"01.1 odling av ett- och tvååriga växter","2023","Nettoinvesteringar, mnkr",..
"01.11 odling av spannmål (utom ris), baljväxter och oljeväxter","2022","Antal företag",8292
"01.11 odling av spannmål (utom ris), baljväxter och oljeväxter","2022","Antal anställda",1538
"01.11 odling av spannmål (utom ris), baljväxter och oljeväxter","2022","Nettoomsättning, mnkr",12804
"01.11 odling av spannmål (utom ris), baljväxter och oljeväxter","2022","Förädlingsvärde, mnkr",5226
"01.11 odling av spannmål (utom ris), baljväxter och oljeväxter","2022","Summa tillgångar, mnkr",50730
"01.11 odling av spannmål (utom ris), baljväxter och oljeväxter","2022","Bruttoinvesteringar, mnkr",..
"01.11 odling av spannmål (utom ris), baljväxter och oljeväxter","2022","Nettoinvesteringar, mnkr",..
"01.11 odling av spannmål (utom ris), baljväxter och oljeväxter","2023","Antal företag",8316
"01.11 odling av spannmål (utom ris), baljväxter och oljeväxter","2023","Antal anställda",1599
"01.11 odling av spannmål (utom ris), baljväxter och oljeväxter","2023","Nettoomsättning, mnkr",13042
"01.11 odling av spannmål (utom ris), baljväxter och oljeväxter","2023","Förädlingsvärde, mnkr",4710
"01.11 odling av spannmål (utom ris), baljväxter och oljeväxter","2023","Summa tillgångar, mnkr",52746
"01.11 odling av spannmål (utom ris), baljväxter och oljeväxter","2023","Bruttoinvesteringar, mnkr",..
"01.11 odling av spannmål (utom ris), baljväxter och oljeväxter","2023","Nettoinvesteringar, mnkr",..
"01.12 odling av ris","2022","Antal företag",..
"01.12 odling av ris","2022","Antal anställda",..
"01.12 odling av ris","2022","Nettoomsättning, mnkr",..
"01.12 odling av ris","2022","Förädlingsvärde, mnkr",..
"01.12 odling av ris","2022","Summa tillgångar, mnkr",..
"01.12 odling av ris","2022","Bruttoinvesteringar, mnkr",..
"01.12 odling av ris","2022","Nettoinvesteringar, mnkr",..
"01.12 odling av ris","2023","Antal företag",..
"01.12 odling av ris","2023","Antal anställda",..
"01.12 odling av ris","2023","Nettoomsättning, mnkr",..
"01.12 odling av ris","2023","Förädlingsvärde, mnkr",..
"01.12 odling av ris","2023","Summa tillgångar, mnkr",..
"01.12 odling av ris","2023","Bruttoinvesteringar, mnkr",..
"01.12 odling av ris","2023","Nettoinvesteringar, mnkr",..
"01.13 odling av grönsaker och meloner, rotfrukter och stam- eller rotknölar","2022","Antal företag",2202
"01.13 odling av grönsaker och meloner, rotfrukter och stam- eller rotknölar","2022","Antal anställda",2570
"01.13 odling av grönsaker och meloner, rotfrukter och stam- eller rotknölar","2022","Nettoomsättning, mnkr",7119
"01.13 odling av grönsaker och meloner, rotfrukter och stam- eller rotknölar","2022","Förädlingsvärde, mnkr",2475
"01.13 odling av grönsaker och meloner, rotfrukter och stam- eller rotknölar","2022","Summa tillgångar, mnkr",15777
"01.13 odling av grönsaker och meloner, rotfrukter och stam- eller rotknölar","2022","Bruttoinvesteringar, mnkr",..
"01.13 odling av grönsaker och meloner, rotfrukter och stam- eller rotknölar","2022","Nettoinvesteringar, mnkr",..
"01.13 odling av grönsaker och meloner, rotfrukter och stam- eller rotknölar","2023","Antal företag",2190
"01.13 odling av grönsaker och meloner, rotfrukter och stam- eller rotknölar","2023","Antal anställda",2557
"01.13 odling av grönsaker och meloner, rotfrukter och stam- eller rotknölar","2023","Nettoomsättning, mnkr",7147
"01.13 odling av grönsaker och meloner, rotfrukter och stam- eller rotknölar","2023","Förädlingsvärde, mnkr",2390
"01.13 odling av grönsaker och meloner, rotfrukter och stam- eller rotknölar","2023","Summa tillgångar, mnkr",13481
"01.13 odling av grönsaker och meloner, rotfrukter och stam- eller rotknölar","2023","Bruttoinvesteringar, mnkr",..
"01.13 odling av grönsaker och meloner, rotfrukter och stam- eller rotknölar","2023","Nettoinvesteringar, mnkr",..
"01.14 odling av sockerrör","2022","Antal företag",..
"01.14 odling av sockerrör","2022","Antal anställda",..
"01.14 odling av sockerrör","2022","Nettoomsättning, mnkr",..
"01.14 odling av sockerrör","2022","Förädlingsvärde, mnkr",..
"01.14 odling av sockerrör","2022","Summa tillgångar, mnkr",..
"01.14 odling av sockerrör","2022","Bruttoinvesteringar, mnkr",..
"01.14 odling av sockerrör","2022","Nettoinvesteringar, mnkr",..
"01.14 odling av sockerrör","2023","Antal företag",..
"01.14 odling av sockerrör","2023","Antal anställda",..
"01.14 odling av sockerrör","2023","Nettoomsättning, mnkr",..
"01.14 odling av sockerrör","2023","Förädlingsvärde, mnkr",..
"01.14 odling av sockerrör","2023","Summa tillgångar, mnkr",..
"01.14 odling av sockerrör","2023","Bruttoinvesteringar, mnkr",..
"01.14 odling av sockerrör","2023","Nettoinvesteringar, mnkr",..
"01.15 odling av tobak","2022","Antal företag",1
"01.15 odling av tobak","2022","Antal anställda",0
"01.15 odling av tobak","2022","Nettoomsättning, mnkr",..
"01.15 odling av tobak","2022","Förädlingsvärde, mnkr",..
"01.15 odling av tobak","2022","Summa tillgångar, mnkr",..
"01.15 odling av tobak","2022","Bruttoinvesteringar, mnkr",..
"01.15 odling av tobak","2022","Nettoinvesteringar, mnkr",..
"01.15 odling av tobak","2023","Antal företag",1
"01.15 odling av tobak","2023","Antal anställda",0
"01.15 odling av tobak","2023","Nettoomsättning, mnkr",..
"01.15 odling av tobak","2023","Förädlingsvärde, mnkr",..
"01.15 odling av tobak","2023","Summa tillgångar, mnkr",..
"01.15 odling av tobak","2023","Bruttoinvesteringar, mnkr",..
"01.15 odling av tobak","2023","Nettoinvesteringar, mnkr",..
"01.16 odling av fiberväxter","2022","Antal företag",6
"01.16 odling av fiberväxter","2022","Antal anställda",4
"01.16 odling av fiberväxter","2022","Nettoomsättning, mnkr",..
"01.16 odling av fiberväxter","2022","Förädlingsvärde, mnkr",..
"01.16 odling av fiberväxter","2022","Summa tillgångar, mnkr",..
"01.16 odling av fiberväxter","2022","Bruttoinvesteringar, mnkr",..
"01.16 odling av fiberväxter","2022","Nettoinvesteringar, mnkr",..
"01.16 odling av fiberväxter","2023","Antal företag",6
"01.16 odling av fiberväxter","2023","Antal anställda",3
"01.16 odling av fiberväxter","2023","Nettoomsättning, mnkr",..
"01.16 odling av fiberväxter","2023","Förädlingsvärde, mnkr",..
"01.16 odling av fiberväxter","2023","Summa tillgångar, mnkr",..
"01.16 odling av fiberväxter","2023","Bruttoinvesteringar, mnkr",..
"01.16 odling av fiberväxter","2023","Nettoinvesteringar, mnkr",..
"01.19 odling av andra ett- och tvååriga växter","2022","Antal företag",7435
"01.19 odling av andra ett- och tvååriga växter","2022","Antal anställda",1599
"01.19 odling av andra ett- och tvååriga växter","2022","Nettoomsättning, mnkr",..
"01.19 odling av andra ett- och tvååriga växter","2022","Förädlingsvärde, mnkr",..
"01.19 odling av andra ett- och tvååriga växter","2022","Summa tillgångar, mnkr",..
"01.19 odling av andra ett- och tvååriga växter","2022","Bruttoinvesteringar, mnkr",..
"01.19 odling av andra ett- och tvååriga växter","2022","Nettoinvesteringar, mnkr",..
"01.19 odling av andra ett- och tvååriga växter","2023","Antal företag",7412
"01.19 odling av andra ett- och tvååriga växter","2023","Antal anställda",1576
"01.19 odling av andra ett- och tvååriga växter","2023","Nettoomsättning, mnkr",..
"01.19 odling av andra ett- och tvååriga växter","2023","Förädlingsvärde, mnkr",..
"01.19 odling av andra ett- och tvååriga växter","2023","Summa tillgångar, mnkr",..
"01.19 odling av andra ett- och tvååriga växter","2023","Bruttoinvesteringar, mnkr",..
"01.19 odling av andra ett- och tvååriga växter","2023","Nettoinvesteringar, mnkr",..
"01.2 odling av fleråriga växter","2022","Antal företag",627
"01.2 odling av fleråriga växter","2022","Antal anställda",546
"01.2 odling av fleråriga växter","2022","Nettoomsättning, mnkr",999
"01.2 odling av fleråriga växter","2022","Förädlingsvärde, mnkr",393
"01.2 odling av fleråriga växter","2022","Summa tillgångar, mnkr",2044
"01.2 odling av fleråriga växter","2022","Bruttoinvesteringar, mnkr",..
"01.2 odling av fleråriga växter","2022","Nettoinvesteringar, mnkr",..
"01.2 odling av fleråriga växter","2023","Antal företag",625
"01.2 odling av fleråriga växter","2023","Antal anställda",639
"01.2 odling av fleråriga växter","2023","Nettoomsättning, mnkr",1087
"01.2 odling av fleråriga växter","2023","Förädlingsvärde, mnkr",443
"01.2 odling av fleråriga växter","2023","Summa tillgångar, mnkr",2192
"01.2 odling av fleråriga växter","2023","Bruttoinvesteringar, mnkr",..
"01.2 odling av fleråriga växter","2023","Nettoinvesteringar, mnkr",..
"01.21 odling av druvor","2022","Antal företag",38
"01.21 odling av druvor","2022","Antal anställda",7
"01.21 odling av druvor","2022","Nettoomsättning, mnkr",26
"01.21 odling av druvor","2022","Förädlingsvärde, mnkr",5
"01.21 odling av druvor","2022","Summa tillgångar, mnkr",59
"01.21 odling av druvor","2022","Bruttoinvesteringar, mnkr",..
"01.21 odling av druvor","2022","Nettoinvesteringar, mnkr",..
"01.21 odling av druvor","2023","Antal företag",41
"01.21 odling av druvor","2023","Antal anställda",1
"01.21 odling av druvor","2023","Nettoomsättning, mnkr",7
"01.21 odling av druvor","2023","Förädlingsvärde, mnkr",0
"01.21 odling av druvor","2023","Summa tillgångar, mnkr",49
"01.21 odling av druvor","2023","Bruttoinvesteringar, mnkr",..
"01.21 odling av druvor","2023","Nettoinvesteringar, mnkr",..
"01.22 odling av tropiska och subtropiska frukter","2022","Antal företag",..
"01.22 odling av tropiska och subtropiska frukter","2022","Antal anställda",..
"01.22 odling av tropiska och subtropiska frukter","2022","Nettoomsättning, mnkr",..
"01.22 odling av tropiska och subtropiska frukter","2022","Förädlingsvärde, mnkr",..
"01.22 odling av tropiska och subtropiska frukter","2022","Summa tillgångar, mnkr",..
"01.22 odling av tropiska och subtropiska frukter","2022","Bruttoinvesteringar, mnkr",..
"01.22 odling av tropiska och subtropiska frukter","2022","Nettoinvesteringar, mnkr",..
"01.22 odling av tropiska och subtropiska frukter","2023","Antal företag",1
"01.22 odling av tropiska och subtropiska frukter","2023","Antal anställda",0
"01.22 odling av tropiska och subtropiska frukter","2023","Nettoomsättning, mnkr",..
"01.22 odling av tropiska och subtropiska frukter","2023","Förädlingsvärde, mnkr",..
"01.22 odling av tropiska och subtropiska frukter","2023","Summa tillgångar, mnkr",..
"01.22 odling av tropiska och subtropiska frukter","2023","Bruttoinvesteringar, mnkr",..
"01.22 odling av tropiska och subtropiska frukter","2023","Nettoinvesteringar, mnkr",..
"01.23 odling av citrusfrukter","2022","Antal företag",..
"01.23 odling av citrusfrukter","2022","Antal anställda",..
"01.23 odling av citrusfrukter","2022","Nettoomsättning, mnkr",..
"01.23 odling av citrusfrukter","2022","Förädlingsvärde, mnkr",..
"01.23 odling av citrusfrukter","2022","Summa tillgångar, mnkr",..
"01.23 odling av citrusfrukter","2022","Bruttoinvesteringar, mnkr",..
"01.23 odling av citrusfrukter","2022","Nettoinvesteringar, mnkr",..
"01.23 odling av citrusfrukter","2023","Antal företag",1
"01.23 odling av citrusfrukter","2023","Antal anställda",0
"01.23 odling av citrusfrukter","2023","Nettoomsättning, mnkr",..
"01.23 odling av citrusfrukter","2023","Förädlingsvärde, mnkr",..
"01.23 odling av citrusfrukter","2023","Summa tillgångar, mnkr",..
"01.23 odling av citrusfrukter","2023","Bruttoinvesteringar, mnkr",..
"01.23 odling av citrusfrukter","2023","Nettoinvesteringar, mnkr",..
"01.24 odling av kärnfrukter och stenfrukter","2022","Antal företag",191
"01.24 odling av kärnfrukter och stenfrukter","2022","Antal anställda",142
"01.24 odling av kärnfrukter och stenfrukter","2022","Nettoomsättning, mnkr",203
"01.24 odling av kärnfrukter och stenfrukter","2022","Förädlingsvärde, mnkr",84
"01.24 odling av kärnfrukter och stenfrukter","2022","Summa tillgångar, mnkr",443
"01.24 odling av kärnfrukter och stenfrukter","2022","Bruttoinvesteringar, mnkr",..
"01.24 odling av kärnfrukter och stenfrukter","2022","Nettoinvesteringar, mnkr",..
"01.24 odling av kärnfrukter och stenfrukter","2023","Antal företag",194
"01.24 odling av kärnfrukter och stenfrukter","2023","Antal anställda",166
"01.24 odling av kärnfrukter och stenfrukter","2023","Nettoomsättning, mnkr",233
"01.24 odling av kärnfrukter och stenfrukter","2023","Förädlingsvärde, mnkr",93
"01.24 odling av kärnfrukter och stenfrukter","2023","Summa tillgångar, mnkr",543
"01.24 odling av kärnfrukter och stenfrukter","2023","Bruttoinvesteringar, mnkr",..
"01.24 odling av kärnfrukter och stenfrukter","2023","Nettoinvesteringar, mnkr",..
"01.25 odling av andra frukter och bär samt nötter","2022","Antal företag",318
"01.25 odling av andra frukter och bär samt nötter","2022","Antal anställda",372
"01.25 odling av andra frukter och bär samt nötter","2022","Nettoomsättning, mnkr",700
"01.25 odling av andra frukter och bär samt nötter","2022","Förädlingsvärde, mnkr",282
"01.25 odling av andra frukter och bär samt nötter","2022","Summa tillgångar, mnkr",1339
"01.25 odling av andra frukter och bär samt nötter","2022","Bruttoinvesteringar, mnkr",..
"01.25 odling av andra frukter och bär samt nötter","2022","Nettoinvesteringar, mnkr",..
"01.25 odling av andra frukter och bär samt nötter","2023","Antal företag",308
"01.25 odling av andra frukter och bär samt nötter","2023","Antal anställda",439
"01.25 odling av andra frukter och bär samt nötter","2023","Nettoomsättning, mnkr",771
"01.25 odling av andra frukter och bär samt nötter","2023","Förädlingsvärde, mnkr",326
"01.25 odling av andra frukter och bär samt nötter","2023","Summa tillgångar, mnkr",1401
"01.25 odling av andra frukter och bär samt nötter","2023","Bruttoinvesteringar, mnkr",..
"01.25 odling av andra frukter och bär samt nötter","2023","Nettoinvesteringar, mnkr",..
"01.26 odling av oljehaltiga frukter","2022","Antal företag",..
"01.26 odling av oljehaltiga frukter","2022","Antal anställda",..
"01.26 odling av oljehaltiga frukter","2022","Nettoomsättning, mnkr",..
"01.26 odling av oljehaltiga frukter","2022","Förädlingsvärde, mnkr",..
"01.26 odling av oljehaltiga frukter","2022","Summa tillgångar, mnkr",..
"01.26 odling av oljehaltiga frukter","2022","Bruttoinvesteringar, mnkr",..
"01.26 odling av oljehaltiga frukter","2022","Nettoinvesteringar, mnkr",..
"01.26 odling av oljehaltiga frukter","2023","Antal företag",..
"01.26 odling av oljehaltiga frukter","2023","Antal anställda",..
"01.26 odling av oljehaltiga frukter","2023","Nettoomsättning, mnkr",..
"01.26 odling av oljehaltiga frukter","2023","Förädlingsvärde, mnkr",..
"01.26 odling av oljehaltiga frukter","2023","Summa tillgångar, mnkr",..
"01.26 odling av oljehaltiga frukter","2023","Bruttoinvesteringar, mnkr",..
"01.26 odling av oljehaltiga frukter","2023","Nettoinvesteringar, mnkr",..
"01.27 odling av växter för dryckesframställning","2022","Antal företag",5
"01.27 odling av växter för dryckesframställning","2022","Antal anställda",0
"01.27 odling av växter för dryckesframställning","2022","Nettoomsättning, mnkr",..
"01.27 odling av växter för dryckesframställning","2022","Förädlingsvärde, mnkr",..
"01.27 odling av växter för dryckesframställning","2022","Summa tillgångar, mnkr",..
"01.27 odling av växter för dryckesframställning","2022","Bruttoinvesteringar, mnkr",..
"01.27 odling av växter för dryckesframställning","2022","Nettoinvesteringar, mnkr",..
"01.27 odling av växter för dryckesframställning","2023","Antal företag",4
"01.27 odling av växter för dryckesframställning","2023","Antal anställda",0
"01.27 odling av växter för dryckesframställning","2023","Nettoomsättning, mnkr",..
"01.27 odling av växter för dryckesframställning","2023","Förädlingsvärde, mnkr",..
"01.27 odling av växter för dryckesframställning","2023","Summa tillgångar, mnkr",..
"01.27 odling av växter för dryckesframställning","2023","Bruttoinvesteringar, mnkr",..
"01.27 odling av växter för dryckesframställning","2023","Nettoinvesteringar, mnkr",..
"01.28 odling av kryddväxter, drog- och medicinalväxter","2022","Antal företag",33
"01.28 odling av kryddväxter, drog- och medicinalväxter","2022","Antal anställda",3
"01.28 odling av kryddväxter, drog- och medicinalväxter","2022","Nettoomsättning, mnkr",6
"01.28 odling av kryddväxter, drog- och medicinalväxter","2022","Förädlingsvärde, mnkr",2
"01.28 odling av kryddväxter, drog- och medicinalväxter","2022","Summa tillgångar, mnkr",21
"01.28 odling av kryddväxter, drog- och medicinalväxter","2022","Bruttoinvesteringar, mnkr",..
"01.28 odling av kryddväxter, drog- och medicinalväxter","2022","Nettoinvesteringar, mnkr",..
"01.28 odling av kryddväxter, drog- och medicinalväxter","2023","Antal företag",32
"01.28 odling av kryddväxter, drog- och medicinalväxter","2023","Antal anställda",8
"01.28 odling av kryddväxter, drog- och medicinalväxter","2023","Nettoomsättning, mnkr",9
"01.28 odling av kryddväxter, drog- och medicinalväxter","2023","Förädlingsvärde, mnkr",5
"01.28 odling av kryddväxter, drog- och medicinalväxter","2023","Summa tillgångar, mnkr",39
"01.28 odling av kryddväxter, drog- och medicinalväxter","2023","Bruttoinvesteringar, mnkr",..
"01.28 odling av kryddväxter, drog- och medicinalväxter","2023","Nettoinvesteringar, mnkr",..
"01.29 odling av andra fleråriga växter","2022","Antal företag",42
"01.29 odling av andra fleråriga växter","2022","Antal anställda",22
"01.29 odling av andra fleråriga växter","2022","Nettoomsättning, mnkr",64
"01.29 odling av andra fleråriga växter","2022","Förädlingsvärde, mnkr",21
"01.29 odling av andra fleråriga växter","2022","Summa tillgångar, mnkr",172
"01.29 odling av andra fleråriga växter","2022","Bruttoinvesteringar, mnkr",..
"01.29 odling av andra fleråriga växter","2022","Nettoinvesteringar, mnkr",..
"01.29 odling av andra fleråriga växter","2023","Antal företag",44
"01.29 odling av andra fleråriga växter","2023","Antal anställda",25
"01.29 odling av andra fleråriga växter","2023","Nettoomsättning, mnkr",64
"01.29 odling av andra fleråriga växter","2023","Förädlingsvärde, mnkr",19
"01.29 odling av andra fleråriga växter","2023","Summa tillgångar, mnkr",151
"01.29 odling av andra fleråriga växter","2023","Bruttoinvesteringar, mnkr",..
"01.29 odling av andra fleråriga växter","2023","Nettoinvesteringar, mnkr",..
"01.3 odling av plantskoleväxter","2022","Antal företag",350
"01.3 odling av plantskoleväxter","2022","Antal anställda",808
"01.3 odling av plantskoleväxter","2022","Nettoomsättning, mnkr",1484
"01.3 odling av plantskoleväxter","2022","Förädlingsvärde, mnkr",597
"01.3 odling av plantskoleväxter","2022","Summa tillgångar, mnkr",1638
"01.3 odling av plantskoleväxter","2022","Bruttoinvesteringar, mnkr",..
"01.3 odling av plantskoleväxter","2022","Nettoinvesteringar, mnkr",..
"01.3 odling av plantskoleväxter","2023","Antal företag",356
"01.3 odling av plantskoleväxter","2023","Antal anställda",751
"01.3 odling av plantskoleväxter","2023","Nettoomsättning, mnkr",1243
"01.3 odling av plantskoleväxter","2023","Förädlingsvärde, mnkr",500
"01.3 odling av plantskoleväxter","2023","Summa tillgångar, mnkr",1476
"01.3 odling av plantskoleväxter","2023","Bruttoinvesteringar, mnkr",..
"01.3 odling av plantskoleväxter","2023","Nettoinvesteringar, mnkr",..
"01.30 odling av plantskoleväxter","2022","Antal företag",350
"01.30 odling av plantskoleväxter","2022","Antal anställda",808
"01.30 odling av plantskoleväxter","2022","Nettoomsättning, mnkr",1484
"01.30 odling av plantskoleväxter","2022","Förädlingsvärde, mnkr",597
"01.30 odling av plantskoleväxter","2022","Summa tillgångar, mnkr",1638
"01.30 odling av plantskoleväxter","2022","Bruttoinvesteringar, mnkr",..
"01.30 odling av plantskoleväxter","2022","Nettoinvesteringar, mnkr",..
"01.30 odling av plantskoleväxter","2023","Antal företag",356
"01.30 odling av plantskoleväxter","2023","Antal anställda",751
"01.30 odling av plantskoleväxter","2023","Nettoomsättning, mnkr",1243
"01.30 odling av plantskoleväxter","2023","Förädlingsvärde, mnkr",500
"01.30 odling av plantskoleväxter","2023","Summa tillgångar, mnkr",1476
"01.30 odling av plantskoleväxter","2023","Bruttoinvesteringar, mnkr",..
"01.30 odling av plantskoleväxter","2023","Nettoinvesteringar, mnkr",..
"01.4 husdjursskötsel","2022","Antal företag",21409
"01.4 husdjursskötsel","2022","Antal anställda",7799
"01.4 husdjursskötsel","2022","Nettoomsättning, mnkr",46910
"01.4 husdjursskötsel","2022","Förädlingsvärde, mnkr",16015
"01.4 husdjursskötsel","2022","Summa tillgångar, mnkr",125423
"01.4 husdjursskötsel","2022","Bruttoinvesteringar, mnkr",..
"01.4 husdjursskötsel","2022","Nettoinvesteringar, mnkr",..
"01.4 husdjursskötsel","2023","Antal företag",21383
"01.4 husdjursskötsel","2023","Antal anställda",7949
"01.4 husdjursskötsel","2023","Nettoomsättning, mnkr",48376
