company_id,industry_code,region,size_class,annual_revenue_msek
120,63,Övriga,small,16.2
121,70,Stockholm,small,5.8
122,47,Västra Götaland,large,82.4
123,69,Stockholm,small,5.2
124,69,Västra Götaland,medium,21.7
125,68,Stockholm,small,8.8
126,49,Övriga,medium,43.9
127,41,Stockholm,small,6.1
128,41,Övriga,medium,21.6
129,70,Västra Götaland,small,9.6
130,62,Övriga,medium,13.2
131,43,Skåne,small,8.0
132,49,Övriga,small,4.4
133,47,Stockholm,medium,11.2
134,52,Övriga,small,6.6
135,62,Övriga,large,54.5
136,46,Stockholm,small,11.8
137,41,Stockholm,small,9.3
138,63,Västra Götaland,medium,29.4
139,69,Övriga,small,8.6
140,72,Västra Götaland,small,28.9
141,62,Västra Götaland,medium,16.8
142,78,Stockholm,medium,34.3
143,78,Stockholm,large,36.2
144,69,Övriga,small,14.0
145,49,Stockholm,small,15.1
146,42,Skåne,small,8.2
147,43,Övriga,small,10.3
148,78,Stockholm,medium,12.6
149,46,Skåne,small,7.0
150,78,Stockholm,small,14.4
151,78,Skåne,small,8.4
152,78,Stockholm,medium,18.7
153,42,Övriga,large,38.5
154,42,Stockholm,medium,12.6
155,46,Västra Götaland,small,10.3
156,41,Skåne,medium,30.5
157,41,Stockholm,small,9.9
158,42,Övriga,small,8.9
159,69,Stockholm,small,52.6
160,47,Skåne,small,6.0
161,45,Stockholm,small,6.0
162,68,Skåne,medium,33.9
163,78,Stockholm,small,13.7
164,47,Västra Götaland,small,6.3
165,46,Stockholm,large,37.2
166,42,Övriga,medium,29.1
167,47,Stockholm,medium,14.3
168,68,Övriga,small,7.6
169,77,Övriga,small,4.7
170,77,Stockholm,small,12.1
171,41,Skåne,small,12.2
172,62,Stockholm,small,7.5
173,47,Västra Götaland,small,13.9
174,77,Övriga,small,3.0
175,43,Skåne,small,5.9
176,45,Skåne,small,8.1
177,43,Stockholm,small,4.5
178,49,Västra Götaland,small,3.2
179,62,Stockholm,small,7.5
180,41,Övriga,small,13.7
181,52,Västra Götaland,small,19.5
182,49,Övriga,small,6.5
183,52,Stockholm,small,14.0
184,41,Stockholm,medium,16.9
185,68,Stockholm,large,155.3
186,63,Stockholm,small,13.2
187,43,Stockholm,large,75.9
188,49,Övriga,small,18.7
189,77,Övriga,small,7.3
190,77,Västra Götaland,large,51.3
191,78,Västra Götaland,small,3.1
192,42,Stockholm,medium,27.6
193,41,Övriga,small,9.4
194,77,Stockholm,small,4.9
195,69,Övriga,small,5.8
196,46,Västra Götaland,small,7.5
197,46,Stockholm,small,7.4
198,62,Övriga,small,9.8
199,62,Stockholm,small,13.8
200,43,Skåne,large,43.3
201,77,Västra Götaland,medium,10.6
202,77,Stockholm,small,7.2
203,43,Västra Götaland,small,11.4
204,41,Skåne,medium,21.7
205,68,Övriga,small,9.1
206,78,Stockholm,small,15.8
207,52,Övriga,small,8.1
208,45,Stockholm,medium,52.4
209,47,Stockholm,small,8.6
210,52,Stockholm,small,7.2
211,43,Stockholm,small,8.2
212,77,Stockholm,small,5.6
213,43,Övriga,small,5.3
214,71,Stockholm,small,14.4
215,42,Stockholm,small,4.7
216,43,Stockholm,small,7.5
217,77,Övriga,small,16.6
218,62,Övriga,medium,22.4
219,45,Stockholm,medium,11.7
220,41,Stockholm,small,7.3
221,45,Stockholm,small,14.8
222,41,Stockholm,small,6.3
223,71,Stockholm,small,4.8
224,77,Västra Götaland,medium,18.1
225,52,Stockholm,small,3.5
226,49,Västra Götaland,medium,17.9
227,43,Stockholm,medium,71.5
228,78,Övriga,large,45.4
229,41,Övriga,small,19.8
230,77,Skåne,small,4.6
231,69,Västra Götaland,small,14.1
232,71,Västra Götaland,medium,56.4
233,47,Västra Götaland,medium,35.4
234,47,Övriga,small,5.0
235,70,Västra Götaland,small,19.9
236,52,Övriga,small,33.9
237,42,Övriga,small,3.3
238,41,Stockholm,small,4.7
239,72,Skåne,small,14.4
240,41,Stockholm,small,12.3
241,46,Stockholm,medium,20.7
242,77,Västra Götaland,small,14.4
243,45,Stockholm,small,6.4
244,43,Övriga,small,29.7
245,78,Stockholm,medium,44.7
246,78,Västra Götaland,small,9.7
247,69,Skåne,large,50.7
248,71,Skåne,small,4.3
249,47,Västra Götaland,large,120.6
250,43,Övriga,medium,13.9
251,62,Skåne,small,7.8
252,46,Västra Götaland,large,65.8
253,78,Stockholm,small,4.4
254,71,Västra Götaland,small,23.4
255,43,Övriga,small,6.1
256,41,Skåne,small,12.1
257,41,Övriga,medium,42.0
258,43,Västra Götaland,medium,39.0
259,63,Stockholm,small,6.8
260,43,Stockholm,small,6.2
261,52,Stockholm,small,2.9
262,71,Skåne,medium,22.7
263,72,Övriga,small,12.9
264,42,Stockholm,large,34.8
265,63,Västra Götaland,small,19.7
266,42,Västra Götaland,small,5.2
267,78,Västra Götaland,medium,43.4
268,52,Stockholm,small,3.6
269,41,Stockholm,small,14.6
270,62,Stockholm,small,3.4
271,68,Stockholm,small,18.8
272,77,Stockholm,large,188.6
273,49,Stockholm,small,5.2
274,63,Skåne,small,4.7
275,43,Stockholm,small,10.5
276,70,Övriga,small,4.8
277,49,Stockholm,medium,19.6
278,45,Stockholm,large,39.9
279,70,Västra Götaland,medium,13.0
280,41,Stockholm,small,5.9
281,52,Övriga,small,11.2
282,71,Stockholm,small,2.1
283,77,Övriga,medium,40.0
284,71,Övriga,small,24.2
285,69,Västra Götaland,small,9.3
286,72,Västra Götaland,large,51.1
287,42,Skåne,small,4.2
288,42,Västra Götaland,small,4.9
289,78,Skåne,small,16.4
290,63,Stockholm,small,12.9
291,47,Stockholm,small,20.7
292,72,Västra Götaland,small,6.0
293,68,Västra Götaland,small,10.8
294,46,Övriga,small,11.7
295,41,Stockholm,medium,23.5
296,52,Övriga,small,13.7
297,69,Stockholm,medium,33.1
298,69,Västra Götaland,small,17.7
299,46,Stockholm,small,5.9
300,49,Västra Götaland,large,120.2
301,45,Stockholm,small,8.4
302,47,Västra Götaland,small,6.3
303,70,Övriga,medium,61.0
304,72,Västra Götaland,small,8.7
305,43,Västra Götaland,small,13.7
306,52,Övriga,small,3.3
307,77,Övriga,medium,17.1
308,70,Västra Götaland,medium,22.8
309,63,Stockholm,small,17.6
310,78,Övriga,small,4.6
311,46,Skåne,small,7.5
312,62,Stockholm,small,19.0
313,69,Stockholm,small,11.0
314,41,Övriga,small,11.1
315,41,Stockholm,small,4.4
316,72,Övriga,small,4.8
317,42,Stockholm,large,80.4
318,77,Övriga,small,15.9
319,52,Västra Götaland,small,6.3
320,70,Västra Götaland,small,6.7
321,41,Övriga,large,54.0
322,77,Västra Götaland,medium,53.8
323,49,Västra Götaland,medium,34.3
324,46,Stockholm,small,16.1
325,43,Stockholm,medium,17.3
326,69,Stockholm,small,4.8
327,77,Skåne,small,10.6
328,46,Stockholm,small,9.3
329,71,Stockholm,medium,15.2
330,46,Västra Götaland,medium,18.8
331,72,Skåne,medium,17.0
332,78,Övriga,large,38.3
333,71,Stockholm,small,9.0
334,46,Stockholm,small,6.6
335,69,Övriga,small,6.4
336,77,Stockholm,medium,27.6
337,77,Övriga,small,4.7
338,49,Övriga,medium,25.5
339,45,Övriga,small,12.1
340,41,Stockholm,small,6.0
341,46,Övriga,small,16.1
342,63,Övriga,small,7.9
343,46,Skåne,medium,28.2
344,45,Stockholm,small,4.8
345,42,Stockholm,small,7.8
346,63,Stockholm,small,7.1
347,41,Västra Götaland,small,16.5
348,46,Skåne,small,7.2
349,70,Västra Götaland,small,7.6
350,45,Västra Götaland,medium,16.1
351,77,Västra Götaland,small,21.1
352,77,Skåne,small,12.2
353,42,Övriga,small,24.5
354,78,Stockholm,small,19.2
355,69,Västra Götaland,small,5.3
356,43,Stockholm,small,16.3
357,41,Skåne,small,22.5
358,41,Övriga,medium,23.7
359,68,Övriga,small,22.6
360,46,Stockholm,medium,8.8
361,69,Övriga,large,43.2
362,43,Stockholm,small,16.3
363,41,Skåne,small,16.1
364,41,Stockholm,small,7.5
365,52,Övriga,small,5.5
366,63,Västra Götaland,medium,26.4
367,68,Skåne,medium,44.2
368,69,Övriga,small,7.3
369,70,Stockholm,small,3.3
370,69,Stockholm,small,20.2
371,71,Övriga,small,7.6
372,42,Stockholm,medium,12.0
373,43,Stockholm,small,19.6
374,78,Västra Götaland,small,4.3
375,52,Skåne,medium,31.2
376,63,Stockholm,small,17.3
377,42,Stockholm,small,6.7
378,62,Stockholm,small,4.2
379,49,Västra Götaland,small,24.0
380,45,Övriga,medium,18.1
381,70,Övriga,medium,36.6
382,68,Skåne,small,17.5
383,45,Stockholm,large,44.3
384,45,Övriga,small,10.2
385,63,Västra Götaland,medium,26.6
386,46,Stockholm,medium,30.0
387,62,Övriga,small,9.2
388,43,Övriga,medium,25.3
389,78,Övriga,small,11.7
390,43,Övriga,small,10.1
391,77,Stockholm,medium,47.7
392,45,Stockholm,medium,29.2
393,78,Skåne,medium,17.2
394,49,Stockholm,small,5.6
395,46,Västra Götaland,small,7.0
396,69,Övriga,small,29.3
397,78,Övriga,large,66.9
398,70,Västra Götaland,small,44.8
399,43,Övriga,medium,25.8
400,62,Övriga,small,23.0
401,78,Skåne,small,12.0
402,78,Stockholm,small,7.4
403,77,Stockholm,large,72.7
404,70,Stockholm,small,5.6
405,78,Stockholm,large,62.4
406,45,Stockholm,small,5.8
407,69,Stockholm,small,6.5
408,62,Västra Götaland,medium,20.4
409,69,Övriga,medium,26.6
410,62,Stockholm,large,65.5
411,49,Övriga,small,32.8
412,71,Skåne,small,26.7
413,72,Stockholm,small,14.1
414,77,Övriga,small,5.1
415,46,Skåne,large,41.6
416,43,Västra Götaland,small,15.4
417,69,Övriga,small,7.8
418,45,Stockholm,small,2.5
419,77,Skåne,small,10.7
420,49,Stockholm,small,5.4
421,70,Övriga,small,5.6
422,63,Västra Götaland,small,7.8
423,49,Skåne,small,6.7
424,71,Stockholm,large,76.1
425,46,Skåne,small,8.8
426,43,Övriga,small,8.6
427,68,Västra Götaland,large,118.7
428,68,Skåne,medium,19.9
429,72,Västra Götaland,large,62.0
430,69,Övriga,large,61.4
431,62,Västra Götaland,small,2.9
432,63,Övriga,medium,17.5
433,69,Övriga,small,22.5
434,78,Västra Götaland,small,5.0
435,47,Stockholm,medium,27.1
436,49,Västra Götaland,small,5.1
437,71,Övriga,medium,25.2
438,70,Stockholm,medium,41.8
439,52,Västra Götaland,small,7.4
440,63,Övriga,medium,19.9
441,62,Västra Götaland,small,8.5
442,42,Skåne,small,21.7
443,46,Stockholm,medium,9.1
444,46,Stockholm,small,10.6
445,47,Övriga,medium,20.5
446,52,Stockholm,small,12.7
447,77,Stockholm,small,10.6
448,70,Övriga,medium,10.9
449,41,Stockholm,small,10.4
450,78,Övriga,small,10.9
451,49,Övriga,small,2.8
452,70,Stockholm,medium,30.2
453,45,Stockholm,small,7.8
454,45,Övriga,medium,10.6
455,47,Västra Götaland,small,18.1
456,69,Stockholm,small,96.1
457,49,Övriga,large,69.2
458,63,Stockholm,small,4.4
459,49,Övriga,small,11.6
460,43,Stockholm,medium,15.0
461,70,Stockholm,medium,20.5
462,70,Stockholm,small,6.4
463,52,Övriga,small,30.8
464,62,Skåne,medium,53.1
465,49,Övriga,medium,14.3
466,41,Västra Götaland,medium,24.7
467,43,Stockholm,small,4.0
468,70,Stockholm,large,110.3
469,78,Västra Götaland,small,13.1
470,41,Skåne,small,3.9
471,47,Skåne,small,7.5
472,47,Stockholm,small,8.8
473,69,Övriga,small,17.1
474,70,Stockholm,small,4.7
475,70,Övriga,small,13.4
476,72,Stockholm,medium,32.8
477,77,Västra Götaland,small,9.1
478,68,Stockholm,small,10.6
479,46,Västra Götaland,small,16.0
480,45,Skåne,small,4.2
481,43,Västra Götaland,small,14.7
482,72,Västra Götaland,small,6.4
483,62,Övriga,large,44.6
484,78,Skåne,medium,51.5
485,71,Övriga,medium,36.2
486,72,Stockholm,small,17.4
487,41,Skåne,small,11.0
488,43,Skåne,small,8.0
489,77,Västra Götaland,medium,42.4
490,68,Västra Götaland,small,6.3
491,69,Stockholm,small,14.8
492,63,Stockholm,small,19.2
493,77,Stockholm,small,6.6
494,52,Stockholm,large,128.1
495,47,Skåne,medium,37.8
496,69,Skåne,medium,13.4
497,52,Övriga,small,4.6
498,45,Övriga,medium,29.4
499,52,Stockholm,small,13.7
500,46,Övriga,large,80.6
501,62,Övriga,small,3.8
502,45,Västra Götaland,small,4.1
503,78,Skåne,medium,37.5
504,62,Övriga,small,4.8
505,41,Västra Götaland,medium,15.2
506,70,Övriga,large,67.6
507,77,Stockholm,small,7.0
508,70,Stockholm,small,4.0
509,71,Västra Götaland,small,2.8
510,43,Skåne,medium,18.4
511,47,Övriga,small,4.6
512,46,Övriga,small,13.3
513,72,Västra Götaland,small,4.2
514,42,Stockholm,small,7.4
515,63,Övriga,medium,16.4
516,70,Skåne,small,29.0
517,46,Stockholm,small,8.8
518,41,Västra Götaland,medium,36.1
519,41,Övriga,small,11.1
520,72,Övriga,small,5.1
521,78,Västra Götaland,small,33.1
522,68,Stockholm,small,6.5
523,78,Övriga,small,7.9
524,70,Skåne,large,115.1
525,41,Västra Götaland,medium,23.7
526,42,Stockholm,medium,20.9
527,62,Övriga,large,39.2
528,43,Stockholm,small,19.9
529,41,Stockholm,small,8.1
530,77,Västra Götaland,small,9.3
531,47,Stockholm,medium,12.9
532,78,Skåne,medium,23.7
533,46,Stockholm,small,7.6
534,46,Skåne,small,7.7
535,47,Stockholm,small,11.3
536,43,Stockholm,small,12.6
537,46,Stockholm,medium,18.5
538,46,Övriga,small,6.1
539,63,Övriga,large,84.3
540,63,Stockholm,small,5.7
541,78,Övriga,medium,27.7
542,71,Skåne,large,80.9
543,62,Övriga,large,43.8
544,71,Västra Götaland,small,6.3
545,41,Skåne,small,3.9
546,70,Stockholm,small,3.5
547,70,Västra Götaland,small,10.8
548,45,Övriga,small,15.8
549,41,Västra Götaland,large,82.0
550,78,Stockholm,small,15.2
551,52,Stockholm,small,2.2
552,42,Övriga,small,7.8
553,52,Skåne,medium,13.9
554,49,Västra Götaland,large,75.8
555,42,Övriga,small,4.7
556,43,Stockholm,small,9.8
557,69,Stockholm,medium,26.8
558,41,Övriga,medium,19.7
559,69,Stockholm,small,7.0
560,46,Stockholm,medium,13.1
561,78,Västra Götaland,large,61.5
562,77,Övriga,small,12.9
563,72,Stockholm,small,8.9
564,72,Övriga,small,2.9
565,46,Övriga,small,5.1
566,71,Stockholm,small,9.1
567,42,Övriga,small,9.5
568,68,Västra Götaland,small,3.9
569,49,Västra Götaland,small,3.6
570,47,Övriga,small,9.3
571,42,Övriga,small,3.9
572,47,Stockholm,small,3.3
573,42,Västra Götaland,small,6.9
574,72,Västra Götaland,small,6.7
575,42,Västra Götaland,small,5.3
576,47,Västra Götaland,medium,12.6
577,41,Stockholm,small,5.9
578,72,Skåne,large,98.3
579,63,Västra Götaland,small,9.1
580,78,Stockholm,small,5.9
581,46,Övriga,small,9.4
582,45,Övriga,medium,13.6
583,63,Västra Götaland,medium,22.1
584,78,Stockholm,large,51.6
585,63,Skåne,large,75.3
586,78,Stockholm,small,7.2
587,46,Stockholm,small,10.0
588,42,Övriga,small,15.3
589,47,Stockholm,small,14.9
590,42,Stockholm,small,19.5
591,70,Stockholm,medium,26.1
592,68,Stockholm,large,62.8
593,68,Stockholm,small,14.9
594,77,Övriga,small,10.4
595,68,Stockholm,small,7.0
596,72,Stockholm,medium,28.1
597,77,Stockholm,small,7.2
598,68,Övriga,large,50.6
599,77,Västra Götaland,medium,28.6
600,52,Västra Götaland,small,5.3
601,45,Övriga,small,9.0
602,52,Västra Götaland,small,13.7
603,45,Stockholm,large,83.6
604,43,Stockholm,small,5.8
605,43,Västra Götaland,large,60.7
606,46,Stockholm,small,8.8
607,63,Skåne,medium,16.8
608,47,Stockholm,small,6.0
609,41,Skåne,small,10.2
610,46,Stockholm,medium,41.6
611,62,Stockholm,medium,19.7
612,69,Västra Götaland,medium,30.7
613,71,Övriga,small,6.5
614,42,Västra Götaland,large,34.4
615,78,Skåne,large,29.7
616,71,Stockholm,small,5.8
617,70,Stockholm,large,95.1
618,62,Stockholm,small,6.0
619,72,Stockholm,medium,22.6
620,72,Stockholm,small,12.2
621,68,Stockholm,large,38.5
622,77,Övriga,small,8.5
623,78,Stockholm,small,7.0
624,45,Skåne,small,10.6
625,41,Västra Götaland,small,7.0
626,52,Västra Götaland,small,17.7
627,78,Skåne,small,5.0
628,43,Stockholm,medium,29.6
629,72,Stockholm,large,75.6
630,72,Övriga,medium,22.0
631,71,Övriga,medium,29.9
632,71,Stockholm,small,8.1
633,42,Stockholm,small,3.9
634,70,Övriga,small,7.3
635,71,Stockholm,small,3.3
636,49,Skåne,large,68.4
637,43,Västra Götaland,small,14.1
638,72,Stockholm,large,56.5
639,71,Skåne,small,14.3
640,68,Västra Götaland,medium,24.4
641,72,Stockholm,small,14.4
642,70,Västra Götaland,small,9.2
643,47,Övriga,medium,36.9
644,43,Skåne,small,5.3
645,72,Stockholm,medium,16.3
646,46,Västra Götaland,small,5.6
647,63,Övriga,small,22.6
648,49,Övriga,large,160.9
649,78,Skåne,small,21.4
650,49,Stockholm,medium,10.1
651,69,Övriga,small,9.7
652,78,Skåne,small,6.6
653,70,Stockholm,small,20.5
654,45,Västra Götaland,small,5.9
655,63,Stockholm,small,10.4
656,43,Skåne,small,20.3
657,62,Stockholm,small,5.5
658,70,Skåne,medium,15.1
659,72,Övriga,medium,41.9
660,45,Övriga,small,14.8
661,72,Övriga,small,12.3
662,42,Övriga,small,8.8
663,72,Stockholm,small,5.0
664,52,Skåne,small,5.8
665,52,Västra Götaland,small,10.7
666,78,Övriga,large,72.3
667,69,Stockholm,medium,22.7
668,63,Övriga,small,3.8
669,62,Skåne,small,9.8
670,46,Övriga,medium,25.7
671,47,Stockholm,small,12.5
672,42,Stockholm,medium,14.5
673,70,Övriga,large,93.7
674,47,Stockholm,small,16.3
675,46,Övriga,small,3.9
676,41,Stockholm,medium,25.3
677,47,Skåne,large,75.8
678,47,Västra Götaland,small,19.9
679,77,Skåne,medium,14.7
680,45,Skåne,small,25.0
681,68,Stockholm,small,11.5
682,62,Stockholm,medium,15.8
683,43,Stockholm,large,60.1
684,52,Skåne,small,4.8
685,46,Västra Götaland,medium,20.1
686,45,Övriga,small,7.4
687,47,Västra Götaland,small,8.8
688,42,Västra Götaland,small,10.6
689,68,Västra Götaland,small,9.1
690,45,Stockholm,small,10.7
691,72,Stockholm,small,8.5
692,47,Övriga,medium,30.6
693,78,Övriga,medium,32.3
694,47,Stockholm,small,10.6
695,42,Skåne,small,6.8
696,72,Övriga,small,7.4
697,68,Västra Götaland,large,66.1
698,52,Stockholm,small,6.4
699,70,Stockholm,small,28.5
700,69,Västra Götaland,small,21.7
701,46,Övriga,small,12.6
702,47,Skåne,small,20.0
703,45,Stockholm,medium,32.8
704,41,Stockholm,medium,11.1
705,78,Övriga,small,14.6
706,69,Övriga,small,10.1
707,72,Skåne,small,3.7
708,41,Skåne,large,128.6
709,71,Stockholm,small,7.7
710,47,Övriga,medium,24.5
711,46,Övriga,small,7.4
712,68,Stockholm,small,4.6
713,45,Övriga,small,3.7
714,70,Stockholm,small,12.1
715,68,Stockholm,small,11.0
716,43,Stockholm,small,4.5
717,41,Stockholm,small,5.8
718,47,Stockholm,small,18.1
719,63,Västra Götaland,small,5.3
720,46,Västra Götaland,small,10.0
721,63,Västra Götaland,small,8.1
722,69,Stockholm,large,108.8
723,42,Stockholm,small,12.2
724,70,Skåne,small,5.4
725,52,Västra Götaland,small,9.5
726,42,Stockholm,small,10.0
727,41,Övriga,small,10.4
728,46,Övriga,medium,22.2
729,62,Övriga,small,9.5
730,78,Västra Götaland,small,11.1
731,62,Stockholm,medium,11.4
732,68,Skåne,large,160.5
733,72,Stockholm,large,73.7
734,47,Västra Götaland,medium,24.7
735,43,Stockholm,large,44.9
736,78,Övriga,small,33.6
737,46,Stockholm,small,42.0
738,69,Övriga,small,6.2
739,71,Övriga,medium,21.6
740,68,Västra Götaland,large,54.7
741,62,Övriga,small,2.2
742,42,Skåne,small,12.9
743,69,Övriga,medium,31.7
744,43,Västra Götaland,large,39.1
745,43,Övriga,small,10.1
746,41,Västra Götaland,large,94.2
747,52,Övriga,small,17.1
748,52,Västra Götaland,small,10.7
749,68,Västra Götaland,small,9.3
750,62,Övriga,small,17.8
751,46,Övriga,small,19.3
752,71,Skåne,medium,25.5
753,43,Stockholm,medium,18.6
754,46,Västra Götaland,medium,39.0
755,46,Övriga,small,3.9
756,71,Övriga,small,5.5
757,45,Övriga,small,8.5
758,70,Stockholm,small,9.6
759,63,Västra Götaland,small,7.9
760,52,Skåne,small,11.7
761,52,Övriga,small,16.4
762,49,Stockholm,medium,8.1
763,52,Övriga,small,25.4
764,71,Västra Götaland,large,51.2
765,47,Stockholm,small,12.8
766,41,Stockholm,large,16.9
767,72,Stockholm,small,5.4
768,41,Västra Götaland,small,8.3
769,78,Stockholm,small,8.6
770,41,Stockholm,medium,23.8
771,72,Övriga,small,12.3
772,42,Stockholm,small,11.4
773,71,Stockholm,medium,10.2
774,52,Västra Götaland,small,30.9
775,52,Västra Götaland,small,6.8
776,49,Övriga,small,11.4
777,47,Västra Götaland,medium,15.5
778,47,Övriga,small,37.1
779,43,Skåne,small,6.4
780,49,Stockholm,small,9.8
781,52,Stockholm,small,5.1
782,63,Västra Götaland,medium,31.9
783,72,Västra Götaland,small,9.5
784,72,Övriga,small,5.7
785,41,Skåne,small,16.9
786,49,Västra Götaland,small,9.9
787,45,Stockholm,small,5.1
788,47,Stockholm,small,14.9
789,41,Skåne,small,10.1
790,46,Västra Götaland,large,202.1
791,41,Västra Götaland,small,16.0
792,45,Stockholm,small,4.5
793,42,Skåne,small,11.3
794,63,Övriga,small,14.4
795,46,Stockholm,medium,13.0
796,63,Västra Götaland,small,7.0
797,41,Övriga,small,4.2
798,47,Stockholm,medium,12.0
799,70,Skåne,small,8.8
800,72,Stockholm,small,18.9
801,45,Skåne,small,17.7
802,70,Stockholm,small,7.0
803,72,Övriga,small,4.2
804,52,Övriga,small,7.0
805,46,Övriga,small,6.8
806,72,Övriga,small,11.8
807,45,Skåne,small,8.5
808,69,Västra Götaland,large,51.6
809,70,Övriga,small,5.7
810,42,Övriga,large,51.4
811,45,Västra Götaland,small,17.5
812,45,Övriga,medium,80.7
813,68,Skåne,small,9.8
814,46,Västra Götaland,small,11.7
815,68,Västra Götaland,medium,12.4
816,63,Stockholm,medium,56.0
817,52,Stockholm,small,3.2
818,47,Stockholm,small,2.1
819,47,Västra Götaland,small,3.8
820,52,Västra Götaland,large,141.5
821,72,Västra Götaland,small,6.8
822,71,Övriga,medium,22.5
823,68,Västra Götaland,medium,18.9
824,69,Västra Götaland,medium,32.6
825,70,Stockholm,small,12.8
826,52,Stockholm,small,2.2
827,41,Övriga,large,38.7
828,72,Skåne,small,23.5
829,52,Övriga,medium,47.9
830,68,Stockholm,small,10.0
831,69,Skåne,medium,13.8
832,69,Stockholm,small,20.4
833,45,Stockholm,small,5.3
834,77,Stockholm,medium,19.0
835,45,Stockholm,small,12.2
836,46,Stockholm,medium,37.5
837,46,Stockholm,small,9.5
838,52,Övriga,small,14.7
839,63,Stockholm,small,7.8
840,78,Stockholm,small,12.0
841,62,Stockholm,small,17.5
842,71,Skåne,medium,28.3
843,52,Stockholm,medium,42.6
844,62,Övriga,small,6.1
845,68,Övriga,small,10.4
846,41,Stockholm,medium,31.7
847,71,Västra Götaland,medium,60.6
848,46,Stockholm,medium,26.8
849,71,Skåne,medium,27.4
850,45,Västra Götaland,small,2.9
851,41,Stockholm,small,13.8
852,52,Stockholm,small,29.2
853,72,Skåne,small,4.3
854,72,Västra Götaland,medium,28.8
855,62,Stockholm,small,8.5
856,62,Skåne,large,111.2
857,63,Skåne,medium,22.8
858,62,Övriga,medium,37.5
859,43,Stockholm,large,51.2
